network,latitude,longitude
52.94.198.80/28,19,73
99.77.137.0/24,59,18
150.222.232.116/31,37,-122
223.71.71.128/25,35,114
13.32.0.0/15,35,114
13.112.0.0/14,36,140
15.181.144.0/20,39,-77
15.230.39.66/31,40,-83
15.230.89.0/24,37,-122
35.71.96.0/24,-6,107
43.200.0.0/14,37,127
43.224.77.92/30,39,-77
52.46.191.96/31,39,-77
52.68.0.0/15,36,140
52.144.231.64/26,1,104
54.67.0.0/16,37,-122
99.82.173.0/24,1,104
13.34.59.224/27,1,104
15.181.254.0/24,39,-77
15.230.72.192/26,-34,18
18.60.0.0/15,17,78
52.57.0.0/16,50,9
52.93.126.123/32,39,-77
52.94.124.0/22,39,-77
52.144.211.192/31,52,0
99.151.80.0/21,47,9
120.253.245.128/26,35,114
150.222.3.180/32,1,104
150.222.98.0/24,53,-6
150.222.101.0/24,37,-122
150.222.120.234/31,50,9
3.36.0.0/14,37,127
13.34.1.0/27,53,-6
13.34.5.110/32,50,9
13.224.0.0/14,35,114
43.224.76.88/30,46,-120
52.93.32.184/32,32,35
52.93.50.176/31,39,-77
52.93.121.197/32,36,140
52.93.127.24/32,53,-6
52.93.178.209/32,37,-122
52.119.240.0/21,53,-6
54.239.0.80/28,36,140
54.240.216.0/22,39,-77
99.82.128.0/20,26,51
99.82.166.0/24,39,-77
150.222.234.110/31,37,-122
161.188.142.0/23,39,-77
13.34.51.32/27,39,-77
13.248.97.0/24,50,9
18.190.0.0/16,40,-83
52.93.55.152/31,37,-122
52.93.178.143/32,37,-122
104.255.59.119/32,37,127
150.222.129.252/32,50,9
150.222.213.40/32,37,-122
150.222.242.84/31,49,2
162.213.232.0/24,53,-6
13.34.63.32/27,35,114
15.230.39.18/31,40,-83
15.230.204.2/32,39,-77
43.224.79.30/31,39,-77
43.224.79.250/31,39,-77
52.46.190.92/30,39,-77
52.46.190.236/31,52,0
52.46.191.218/31,39,-77
52.93.91.96/32,39,-77
104.255.59.134/32,-38,145
150.222.11.92/31,53,-6
13.34.5.224/27,53,-6
13.34.22.96/27,-6,107
13.34.31.192/27,39,-77
13.34.39.96/27,47,9
13.34.56.160/27,53,-6
13.34.62.0/27,35,114
15.197.8.0/22,35,114
15.230.39.154/31,40,-83
15.230.70.192/26,49,2
35.71.72.0/22,53,-6
43.224.77.176/30,52,0
43.224.79.72/31,39,-77
52.46.190.152/30,46,-120
52.93.73.0/26,36,140
52.93.91.105/32,39,-77
52.93.92.72/31,37,-122
52.93.178.137/32,37,-122
52.94.198.144/28,52,0
52.94.208.0/21,46,-120
52.95.227.0/24,59,18
54.68.0.0/14,46,-120
54.93.0.0/16,50,9
70.132.0.0/18,35,114
150.222.11.90/31,53,-6
150.222.230.124/31,50,9
150.222.234.26/31,37,-122
13.34.56.0/27,39,-77
13.34.58.0/27,17,78
13.34.66.128/27,32,35
13.34.68.32/27,19,73
13.50.0.0/16,59,18
15.251.0.12/32,37,-122
52.44.0.0/15,39,-77
52.76.128.0/17,1,104
52.93.55.144/31,37,-122
52.219.32.0/21,1,104
54.95.0.0/16,36,140
54.212.0.0/15,46,-120
99.87.4.0/22,17,78
150.222.3.177/32,1,104
150.222.69.0/24,-24,-47
150.222.234.84/31,37,-122
150.222.252.246/31,37,-122
3.5.228.0/22,-34,18
13.34.3.128/27,17,78
13.34.30.64/27,39,-77
13.34.63.128/27,39,-77
13.34.65.160/27,32,35
15.158.0.0/16,35,114
15.181.176.0/20,39,-77
15.220.202.0/23,46,-120
15.230.19.12/32,53,-6
15.230.133.16/32,1,104
15.230.149.8/31,-34,151
43.224.79.196/31,39,-77
52.93.8.0/22,1,104
52.93.91.111/32,39,-77
52.93.123.255/32,39,-77
52.93.124.213/32,49,2
52.94.152.65/32,40,-83
142.4.160.128/29,39,-77
150.222.3.236/31,1,104
3.124.0.0/14,50,9
13.34.47.0/27,50,9
15.181.48.0/20,39,-77
15.230.4.19/32,1,104
43.224.76.136/30,39,-77
43.224.77.116/30,46,-120
52.93.240.150/31,46,-120
52.144.194.192/26,37,-122
54.183.0.0/16,37,-122
54.240.236.33/32,45,9
54.240.236.49/32,45,9
99.83.120.0/22,-34,151
142.4.160.64/29,46,-120
3.24.0.0/14,-34,151
13.34.58.64/27,37,-122
13.34.68.96/27,39,-77
15.197.18.0/23,35,114
15.230.219.0/24,25,55
52.46.190.202/31,46,-120
52.46.191.210/31,46,-120
52.93.133.133/32,45,9
52.95.34.0/24,36,140
52.144.225.0/26,35,114
54.240.236.10/32,45,9
104.255.59.130/32,-38,145
150.222.13.0/24,53,-6
150.222.120.252/32,50,9
205.251.247.0/24,39,-77
13.249.0.0/16,35,114
15.193.6.0/24,39,-77
15.230.39.212/31,40,-83
15.230.65.0/26,50,9
35.71.113.0/24,45,9
43.224.79.38/31,46,-120
52.93.127.182/32,39,-77
52.94.152.177/32,-34,151
64.252.103.0/24,1,104
142.4.160.24/29,39,-77
150.222.28.126/31,-24,-47
150.222.122.102/31,50,9
150.222.234.132/31,37,-122
3.116.0.0/14,36,140
13.34.56.96/27,39,-77
15.177.86.0/24,35,114
15.221.8.0/21,1,104
15.221.49.0/24,37,-122
15.230.76.128/26,45,9
15.230.91.0/24,45,-74
15.230.208.0/24,39,-77
18.144.0.0/15,37,-122
18.238.0.0/15,35,114
18.244.0.0/15,35,114
52.46.188.36/30,39,-77
52.90.0.0/15,39,-77
52.93.91.114/32,39,-77
52.93.123.6/32,49,2
52.93.138.253/32,52,0
52.93.178.213/32,37,-122
52.94.144.0/23,37,-122
52.95.157.0/24,35,136
52.144.208.192/26,53,-6
108.175.52.0/22,40,-83
150.222.3.226/31,1,104
150.222.208.88/31,-34,18
13.34.30.0/27,39,-77
13.34.34.0/27,59,18
15.230.173.0/24,52,0
15.230.190.128/25,52,0
15.251.0.0/32,37,-122
52.0.0.0/15,39,-77
52.46.188.88/30,39,-77
52.93.193.198/32,45,-74
52.93.250.0/23,36,140
52.95.176.0/24,-34,18
52.95.253.0/24,52,0
54.239.120.0/21,37,127
142.4.160.120/29,39,-77
150.222.3.200/31,1,104
205.251.208.0/20,35,114
208.110.48.0/20,39,-77
3.33.35.0/24,50,9
13.34.45.128/27,35,114
52.46.189.96/30,39,-77
52.46.191.184/31,46,-120
52.93.12.12/32,46,-120
52.95.255.128/28,50,9
52.208.0.0/13,53,-6
54.239.0.208/28,19,73
99.77.0.0/20,25,55
103.246.150.0/23,36,140
150.222.10.0/24,50,9
150.222.234.14/31,37,-122
150.222.234.126/31,37,-122
3.3.28.0/22,40,-83
13.34.22.192/27,40,-83
13.34.48.224/27,53,-6
13.248.120.0/24,52,0
15.230.39.170/31,40,-83
15.230.76.64/26,45,9
16.62.0.0/15,47,9
43.224.77.108/30,46,-120
43.224.79.226/31,52,0
52.46.191.136/31,39,-77
52.54.0.0/15,39,-77
52.93.3.0/24,39,-77
52.93.55.158/31,37,-122
52.93.153.179/32,52,0
52.95.230.0/24,46,-120
54.240.225.0/24,36,140
54.240.236.85/32,45,9
99.78.212.0/22,-34,151
104.255.59.138/32,-6,107
150.222.3.208/31,1,104
150.222.106.0/24,37,-122
150.222.129.118/31,50,9
150.222.230.108/31,50,9
3.5.48.0/22,25,55
15.230.77.64/26,36,140
15.230.165.0/24,52,0
15.230.177.0/31,25,55
15.251.0.5/32,37,-122
43.224.79.128/31,39,-77
52.74.0.0/16,1,104
52.93.50.182/31,39,-77
54.168.0.0/16,36,140
54.239.54.0/23,50,9
150.222.129.154/31,50,9
150.222.217.250/31,19,73
13.34.31.160/27,-24,-47
13.34.54.96/27,46,-120
13.34.64.64/27,49,2
15.177.89.0/24,53,-6
15.230.4.156/31,1,104
15.230.14.17/32,39,-77
18.156.0.0/14,50,9
43.224.76.92/30,46,-120
52.46.190.214/31,39,-77
52.46.191.10/31,39,-77
52.46.191.144/31,39,-77
52.93.126.244/32,19,73
52.93.133.129/32,45,9
52.95.24.0/22,40,-83
52.95.140.0/23,47,9
52.119.196.0/22,39,-77
52.144.218.64/26,53,-6
64.252.113.0/24,36,140
79.125.0.0/17,53,-6
99.77.134.0/24,52,0
99.78.144.0/21,-34,18
13.34.22.88/29,19,73
13.34.35.192/27,-6,107
13.214.0.0/15,1,104
15.177.77.0/24,35,136
15.177.90.0/24,45,9
43.224.79.34/31,39,-77
52.46.189.84/30,39,-77
52.46.224.0/20,46,-120
52.93.91.100/32,39,-77
52.93.126.146/32,-34,18
52.95.156.0/24,49,2
54.180.0.0/15,37,127
99.77.253.0/24,46,-120
150.222.71.0/24,39,-77
150.222.120.228/31,50,9
3.4.6.0/24,46,-120
13.34.16.128/27,-34,151
13.34.60.160/27,39,-77
15.177.79.0/24,36,140
15.220.208.128/26,46,-120
15.230.39.122/31,40,-83
15.230.133.18/31,1,104
15.230.210.0/23,-34,151
16.12.2.0/24,-24,-47
43.224.77.24/30,39,-77
43.224.77.112/30,46,-120
43.224.79.118/31,46,-120
52.93.50.190/31,39,-77
52.95.160.0/23,35,114
54.64.0.0/15,36,140
103.8.172.0/22,-34,151
150.222.122.92/31,50,9
150.222.230.98/31,50,9
176.34.0.0/19,36,140
13.34.25.64/27,46,-120
13.34.36.224/27,53,-6
13.34.44.0/27,40,-83
15.230.39.152/31,40,-83
15.230.39.184/31,40,-83
15.230.215.0/24,19,73
35.71.120.0/24,42,-1
35.80.0.0/12,46,-120
52.46.191.80/31,46,-120
52.93.178.194/32,37,-122
52.93.178.210/32,37,-122
52.219.62.0/23,19,73
69.107.6.216/29,53,-6
99.77.147.0/24,26,51
150.222.208.76/31,-34,18
13.34.28.224/27,46,-120
13.34.29.160/27,39,-77
13.34.36.160/27,49,2
13.34.45.0/27,35,114
13.34.66.160/27,32,35
15.230.39.118/31,40,-83
15.230.65.64/26,50,9
18.186.0.0/15,53,-6
43.224.79.42/31,39,-77
43.224.79.64/31,52,0
43.224.79.144/31,39,-77
43.224.79.176/31,46,-120
52.46.190.148/30,46,-120
52.93.178.184/32,37,-122
52.93.240.182/31,46,-120
54.239.0.48/28,53,-6
54.239.1.224/28,-38,145
54.239.64.0/21,50,9
65.9.128.0/18,35,114
99.77.129.0/24,39,-77
108.175.60.0/22,40,-83
150.222.3.186/32,1,104
150.222.122.94/31,50,9
150.222.234.108/31,37,-122
13.34.64.192/27,32,35
15.220.200.0/23,46,-120
15.230.39.46/31,40,-83
15.230.39.68/31,40,-83
15.230.133.22/31,1,104
35.71.128.0/17,35,114
43.204.0.0/15,19,73
43.224.79.162/31,46,-120
46.51.224.0/19,36,140
52.46.190.76/30,52,0
52.93.124.96/32,49,2
52.93.124.212/32,49,2
52.95.111.0/24,37,127
54.179.0.0/16,1,104
54.240.203.0/24,-34,151
67.220.240.0/20,39,-77
130.176.128.0/18,35,114
150.222.134.0/24,52,0
3.3.8.0/21,35,114
13.34.16.96/27,35,114
13.34.50.0/27,35,114
13.34.53.0/27,49,2
13.248.127.0/24,1,104
52.46.189.200/30,39,-77
52.46.191.66/31,39,-77
52.144.224.64/26,-34,151
54.170.0.0/15,53,-6
99.82.171.0/24,39,-77
3.5.164.0/22,-34,151
15.221.33.0/24,45,-74
15.230.39.92/31,40,-83
15.230.51.0/24,53,-6
15.230.64.0/26,-6,107
15.230.75.192/26,35,136
15.230.81.0/24,37,127
35.71.98.0/24,59,18
52.46.191.128/31,39,-77
52.93.178.159/32,37,-122
52.93.178.189/32,37,-122
52.93.240.166/31,46,-120
52.95.151.0/24,45,9
52.144.200.64/26,39,-77
52.144.211.128/26,52,0
52.144.233.192/26,53,-6
70.232.88.0/22,-38,145
99.77.131.0/24,40,-83
104.255.59.122/32,17,78
150.222.3.178/32,1,104
150.222.129.112/31,50,9
3.5.240.0/22,35,136
13.34.31.64/27,39,-77
15.230.39.134/31,40,-83
35.71.112.0/24,-38,145
35.153.0.0/16,39,-77
43.224.76.148/30,52,0
52.46.191.78/31,46,-120
52.61.0.0/16,46,-120
52.79.0.0/16,37,127
52.93.127.113/32,1,104
52.93.137.0/24,37,127
54.231.0.0/16,39,-77
99.150.48.0/21,36,140
150.222.164.222/32,53,-6
13.34.45.96/27,35,114
13.248.96.0/24,53,-6
15.221.32.0/24,40,-83
15.230.39.126/31,40,-83
15.230.65.128/25,39,-77
15.230.185.0/24,37,-122
15.230.188.128/25,53,-6
52.46.191.104/31,39,-77
52.46.191.182/31,39,-77
52.93.126.250/32,49,2
52.93.127.155/32,53,-6
52.95.158.0/23,35,136
52.144.192.128/26,39,-77
52.144.233.128/31,35,136
52.216.0.0/15,39,-77
54.240.236.34/32,45,9
99.82.144.0/21,26,51
99.82.169.0/24,52,0
150.222.80.0/24,53,-6
150.222.234.100/31,37,-122
15.220.228.0/22,19,73
15.230.64.192/26,50,9
43.224.76.208/30,39,-77
52.12.0.0/15,46,-120
52.93.126.245/32,19,73
52.93.133.175/32,45,9
52.93.240.202/31,46,-120
52.220.0.0/15,1,104
54.239.1.128/28,-34,18
162.250.236.0/24,39,-77
13.34.50.128/27,39,-77
13.34.67.160/27,46,-120
15.230.39.140/31,40,-83
15.251.0.2/32,37,-122
18.163.0.0/16,35,114
43.224.76.168/30,39,-77
43.224.76.192/30,46,-120
52.46.189.176/30,46,-120
52.46.190.182/31,52,0
52.46.250.0/23,39,-77
52.93.34.122/31,37,-122
52.93.240.168/31,46,-120
52.94.5.0/24,53,-6
52.144.228.128/26,19,73
52.144.230.206/31,1,104
52.219.210.0/24,50,9
54.199.0.0/16,36,140
150.222.141.0/24,36,140
150.222.205.0/24,39,-77
13.34.16.160/27,-34,151
15.230.39.50/31,40,-83
15.230.39.146/31,40,-83
15.230.69.64/26,26,51
18.142.0.0/15,1,104
46.137.192.0/19,1,104
52.46.188.24/30,39,-77
52.93.91.112/32,39,-77
52.93.178.181/32,37,-122
52.200.0.0/13,39,-77
52.219.96.0/20,40,-83
52.223.0.0/17,35,114
64.252.123.0/24,37,-122
99.151.112.0/21,-24,-47
150.222.164.208/31,53,-6
205.251.232.0/22,46,-120
13.34.51.224/27,37,-122
13.34.65.128/27,32,35
15.230.39.32/31,40,-83
15.230.214.0/24,39,-77
18.34.64.0/21,1,104
34.224.0.0/12,39,-77
52.75.0.0/16,46,-120
52.144.215.194/31,59,18
99.78.128.0/20,-34,18
99.82.164.0/24,-24,-47
150.222.3.238/31,1,104
150.222.28.132/31,-24,-47
13.34.31.96/27,39,-77
15.230.72.64/26,-34,18
52.46.188.136/30,39,-77
52.93.126.138/32,-34,151
52.93.141.228/31,37,-122
52.93.153.80/32,52,0
52.93.182.128/26,-34,151
52.95.148.0/23,52,0
58.254.138.0/25,35,114
13.34.33.0/27,50,9
15.177.66.0/23,40,-83
15.230.133.20/31,1,104
43.224.77.124/30,39,-77
52.93.127.221/32,39,-77
52.94.248.224/28,46,-120
52.95.162.0/24,35,114
52.95.255.48/28,36,140
54.218.0.0/16,46,-120
150.222.215.0/24,52,0
3.5.76.0/22,46,-120
13.34.40.0/27,39,-77
13.34.41.64/27,-34,151
13.34.54.128/27,46,-120
15.197.4.0/22,35,114
16.168.0.0/15,59,18
52.46.191.238/31,39,-77
52.93.133.155/32,45,9
52.93.141.213/32,37,-122
52.94.16.0/24,49,2
52.144.195.0/26,39,-77
64.252.78.0/24,-24,-47
13.34.37.128/27,-38,145
15.181.0.0/20,46,-120
15.230.164.0/24,1,104
43.224.79.242/31,52,0
43.250.192.0/24,1,104
52.93.124.211/32,45,9
52.93.126.133/32,50,9
54.239.102.232/31,37,-122
54.239.113.0/24,53,-6
64.252.117.0/24,53,-6
99.151.104.0/21,1,104
99.151.128.0/21,45,-74
176.32.112.0/21,37,-122
13.34.63.224/27,40,-83
13.34.66.96/27,39,-77
15.230.153.0/24,52,0
35.71.102.0/24,40,-83
52.46.189.40/30,39,-77
52.93.50.164/31,39,-77
52.93.120.179/32,46,-120
52.93.240.196/31,46,-120
52.144.209.192/26,52,0
52.144.218.0/26,53,-6
54.240.236.5/32,45,9
99.80.0.0/15,53,-6
3.5.44.0/22,17,78
13.34.41.224/27,-34,151
13.34.42.64/27,39,-77
13.34.44.224/27,53,-6
13.34.47.64/27,50,9
15.230.39.124/31,40,-83
15.230.39.200/31,40,-83
52.93.64.0/24,39,-77
52.93.80.0/24,52,0
52.93.127.70/32,-24,-47
52.94.69.0/24,50,9
52.94.120.0/22,46,-120
52.144.133.32/27,52,0
54.239.40.152/29,37,127
54.240.236.1/32,45,9
99.77.188.0/24,35,114
150.222.28.18/31,-24,-47
13.34.21.64/27,37,-122
13.34.29.64/27,39,-77
13.34.47.224/27,-24,-47
13.248.121.0/24,53,-6
15.230.39.166/31,40,-83
52.46.191.212/31,46,-120
52.93.178.192/32,37,-122
52.94.10.0/24,46,-120
99.82.170.0/24,36,140
13.34.19.96/27,53,-6
13.34.35.32/27,25,55
13.34.61.64/27,53,-6
13.248.122.0/24,59,18
15.248.36.0/22,37,127
52.46.189.180/30,46,-120
52.46.189.244/30,39,-77
52.93.55.148/31,37,-122
52.93.71.29/32,39,-77
52.93.127.139/32,50,9
52.93.178.195/32,37,-122
52.93.178.222/32,37,-122
52.95.249.0/24,19,73
54.230.208.0/20,35,114
54.244.0.0/16,46,-120
64.252.87.0/24,50,9
99.82.174.0/24,45,-74
104.255.59.123/32,17,78
150.222.3.244/31,1,104
150.222.3.250/31,1,104
150.222.129.152/31,50,9
150.222.217.228/30,19,73
150.222.234.74/31,37,-122
13.34.54.64/27,1,104
13.34.59.160/27,39,-77
46.137.224.0/19,1,104
52.95.42.0/24,37,-122
52.219.180.0/22,1,104
65.0.0.0/14,19,73
99.82.156.0/22,35,114
99.150.80.0/21,45,9
104.255.59.126/32,17,78
13.34.5.45/32,50,9
13.34.32.64/27,37,-122
13.34.63.96/27,-24,-47
43.224.76.84/30,46,-120
43.224.76.96/30,52,0
43.224.76.124/30,52,0
43.224.77.128/30,39,-77
52.93.127.116/32,1,104
52.93.178.133/32,37,-122
52.93.178.224/32,37,-122
63.246.112.0/24,59,18
63.246.119.0/24,39,-77
150.222.122.96/31,50,9
150.222.234.140/31,37,-122
13.34.5.111/32,50,9
13.34.44.64/27,1,104
13.34.55.32/27,37,-122
15.230.16.12/32,37,-122
15.230.179.8/29,40,-83
43.224.76.40/30,46,-120
50.19.0.0/16,39,-77
52.93.127.107/32,1,104
52.93.240.152/31,46,-120
52.93.240.198/31,46,-120
52.94.152.3/32,36,140
99.79.0.0/16,45,-74
116.129.226.0/25,35,114
150.222.73.0/24,39,-77
150.222.164.211/32,53,-6
13.34.36.192/27,53,-6
13.34.66.192/27,39,-77
15.251.0.3/32,37,-122
44.224.0.0/11,46,-120
52.46.189.60/30,39,-77
52.46.189.124/30,52,0
52.46.191.130/31,39,-77
52.93.120.177/32,35,136
52.93.135.195/32,45,9
52.222.128.0/17,35,114
150.222.104.0/24,50,9
150.222.129.19/32,50,9
13.34.33.96/27,50,9
13.34.38.128/27,42,-1
13.34.61.0/27,39,-77
15.221.4.0/23,39,-77
15.230.39.110/31,40,-83
15.230.70.64/26,19,73
43.224.79.156/31,52,0
52.93.127.161/32,-24,-47
52.93.127.172/32,39,-77
52.144.211.64/26,52,0
150.222.109.0/24,45,-74
150.222.208.68/31,-34,18
3.2.3.0/24,39,-77
3.48.0.0/12,50,9
13.34.5.192/27,53,-6
13.34.29.0/27,-24,-47
15.197.12.0/22,35,114
18.164.0.0/15,35,114
52.93.126.137/32,-34,151
52.93.153.176/32,52,0
52.93.178.200/32,37,-122
150.222.3.214/31,1,104
15.230.38.0/24,39,-77
15.230.39.88/31,40,-83
15.230.133.0/28,1,104
35.71.103.0/24,-34,18
43.224.79.158/31,39,-77
52.93.126.139/32,-34,151
52.93.127.68/32,39,-77
52.95.172.0/23,26,51
64.252.73.0/24,46,-120
99.151.72.0/21,-38,145
174.129.0.0/16,39,-77
13.34.28.96/27,46,-120
13.34.32.96/27,37,-122
15.230.174.0/24,26,51
15.251.0.20/32,-24,-47
35.71.110.0/24,35,136
52.46.189.168/30,39,-77
52.46.191.72/31,52,0
52.93.34.120/31,37,-122
52.93.127.198/32,37,127
52.93.134.181/32,45,9
52.93.141.238/31,37,-122
52.93.178.211/32,37,-122
52.95.255.80/28,39,-77
64.252.101.0/24,19,73
150.222.87.0/24,39,-77
150.222.129.140/31,50,9
150.222.234.4/32,37,-122
150.222.234.80/31,37,-122
13.34.0.160/27,36,140
13.34.19.192/27,53,-6
13.34.38.96/27,42,-1
15.230.31.0/24,53,-6
52.93.71.31/32,39,-77
52.93.153.169/32,52,0
52.93.178.169/32,37,-122
52.94.22.0/24,40,-83
52.95.255.112/28,46,-120
54.240.236.2/32,45,9
99.83.84.0/22,36,140
150.222.129.248/31,50,9
150.222.234.36/31,37,-122
150.222.234.42/31,37,-122
13.34.28.64/27,46,-120
13.34.32.160/27,37,-122
13.248.118.0/24,53,-6
15.181.224.0/21,39,-77
15.220.227.0/24,19,73
15.230.4.162/31,1,104
18.208.0.0/13,39,-77
52.46.189.216/30,46,-120
52.46.191.142/31,39,-77
52.93.126.131/32,-34,151
52.93.240.204/31,46,-120
52.95.245.0/24,39,-77
54.240.17.0/24,35,114
99.77.142.0/24,35,114
99.77.187.0/24,39,-77
99.78.232.0/21,-6,107
15.177.73.0/24,19,73
15.221.51.0/24,45,9
15.230.189.0/25,53,-6
46.51.216.0/21,1,104
52.93.127.253/32,36,140
52.94.152.60/32,40,-83
52.144.223.128/26,19,73
150.222.120.226/31,50,9
150.222.129.116/31,50,9
150.222.234.86/31,37,-122
150.222.252.244/31,37,-122
176.32.125.254/31,39,-77
3.5.64.0/21,53,-6
13.34.5.113/32,50,9
15.230.39.0/31,40,-83
15.230.134.0/24,40,-83
15.230.140.0/24,40,-83
43.249.44.0/24,-34,151
52.46.189.8/30,46,-120
52.93.75.0/24,45,-74
52.93.123.98/32,39,-77
52.93.127.114/32,1,104
52.94.152.180/32,-34,151
52.94.248.32/28,1,104
52.144.233.68/31,35,136
52.219.40.0/22,1,104
52.219.136.0/22,36,140
54.220.0.0/16,53,-6
99.78.240.0/20,-6,107
100.20.0.0/14,46,-120
150.222.74.0/24,46,-120
176.32.125.236/31,39,-77
13.34.24.128/27,46,-120
52.46.190.192/31,52,0
52.93.91.108/32,39,-77
52.93.126.199/32,45,9
52.93.127.106/32,1,104
52.93.127.122/32,39,-77
52.94.248.160/28,40,-83
54.151.0.0/17,37,-122
13.34.43.0/27,19,73
13.34.52.32/27,40,-83
13.34.54.32/27,1,104
13.34.58.128/27,37,127
15.161.0.0/16,45,9
43.224.76.60/30,52,0
43.224.79.126/31,39,-77
52.46.190.230/31,39,-77
52.93.129.95/32,45,9
52.93.141.214/31,37,-122
52.93.193.196/32,45,-74
52.94.132.0/22,39,-77
64.252.110.0/24,36,140
99.77.158.0/24,50,9
13.34.35.64/27,25,55
18.188.0.0/16,40,-83
18.252.0.0/16,40,-83
43.224.76.64/30,52,0
43.224.79.110/31,39,-77
46.51.128.0/18,53,-6
52.46.188.44/30,46,-120
52.46.188.204/30,39,-77
52.93.141.232/31,37,-122
52.93.178.165/32,37,-122
64.252.107.0/24,-34,151
64.252.128.0/18,35,114
99.82.152.0/22,26,51
99.82.167.0/24,39,-77
150.222.14.72/31,1,104
150.222.108.0/24,1,104
150.222.120.246/31,50,9
150.222.208.72/31,-34,18
176.32.125.128/26,46,-120
205.251.254.0/24,35,114
13.34.5.49/32,50,9
13.34.42.96/27,39,-77
13.232.0.0/14,19,73
15.220.0.0/20,46,-120
15.248.16.0/22,49,2
52.46.190.254/31,39,-77
52.46.191.124/31,46,-120
52.93.50.180/31,39,-77
52.93.178.142/32,37,-122
52.93.229.148/32,52,0
52.95.243.0/24,36,140
150.222.28.116/31,-24,-47
150.222.208.84/31,-34,18
3.5.132.0/23,40,-83
13.53.0.0/16,59,18
13.248.114.0/24,-24,-47
15.177.88.0/24,-24,-47
15.184.0.0/16,26,51
15.230.133.28/31,1,104
43.224.79.246/31,39,-77
52.46.188.148/30,46,-120
52.93.178.156/32,37,-122
52.93.178.180/32,37,-122
52.94.48.0/20,52,0
54.230.224.0/19,35,114
54.240.236.61/32,45,9
99.78.188.0/22,37,127
150.222.3.254/31,1,104
150.222.15.130/31,36,140
150.222.129.156/31,50,9
150.222.234.62/31,37,-122
184.72.128.0/17,39,-77
205.251.248.0/24,39,-77
13.34.31.224/27,39,-77
15.220.16.0/20,46,-120
52.93.127.115/32,1,104
69.107.7.72/29,39,-77
150.222.3.246/31,1,104
161.188.134.0/23,46,-120
13.34.0.128/27,36,140
13.34.1.32/27,53,-6
13.34.5.13/32,50,9
13.34.41.160/27,-34,151
13.34.51.128/27,37,-122
13.34.57.128/27,39,-77
13.51.0.0/16,59,18
15.230.39.38/31,40,-83
15.230.39.168/31,40,-83
15.230.39.204/31,40,-83
52.93.127.197/32,45,-74
52.93.127.207/32,53,-6
52.94.80.0/20,45,-74
52.94.198.112/28,-34,151
54.240.197.0/24,53,-6
71.152.0.0/17,35,114
99.83.76.0/22,19,73
99.83.80.0/22,-34,151
104.255.59.101/32,-6,107
108.166.232.0/21,40,-83
150.222.122.100/31,50,9
216.137.32.0/19,35,114
13.34.14.160/27,46,-120
13.34.34.96/27,17,78
35.181.0.0/16,49,2
43.224.76.240/30,52,0
52.46.191.220/31,39,-77
52.93.138.252/32,52,0
52.93.153.171/32,52,0
52.95.190.0/24,45,-74
54.80.0.0/13,39,-77
54.214.0.0/16,46,-120
54.254.0.0/16,1,104
99.78.176.0/21,40,-83
104.255.59.124/32,17,78
150.222.139.124/30,50,9
13.248.98.0/24,36,140
15.230.39.16/31,40,-83
15.230.39.78/31,40,-83
15.230.77.128/26,1,104
15.230.142.0/24,39,-77
15.230.201.0/24,39,-77
52.20.0.0/14,39,-77
52.94.201.0/26,39,-77
52.94.248.208/28,45,-74
52.219.24.0/21,37,-122
69.107.6.168/29,1,104
99.82.161.0/24,49,2
150.222.120.250/31,50,9
204.246.172.0/24,35,114
3.152.0.0/13,40,-83
13.244.0.0/15,-34,18
43.224.79.32/31,39,-77
43.224.79.68/31,52,0
52.46.189.196/30,46,-120
52.93.178.197/32,37,-122
52.94.248.48/28,-24,-47
54.242.0.0/15,39,-77
99.151.88.0/21,53,-6
150.222.234.24/31,37,-122
177.72.240.0/21,-24,-47
216.182.238.0/23,39,-77
3.5.168.0/23,-34,151
13.34.6.192/27,17,78
13.34.48.32/27,19,73
13.34.49.128/27,53,-6
15.230.0.4/32,-24,-47
15.230.16.17/32,37,-122
15.230.167.0/24,40,-83
18.168.0.0/14,52,0
34.208.0.0/12,46,-120
52.15.0.0/16,40,-83
52.93.127.237/32,50,9
52.93.178.226/32,37,-122
52.144.209.128/26,49,2
99.83.101.0/24,39,-77
150.222.224.0/24,39,-77
13.34.31.32/27,39,-77
13.34.63.160/27,39,-77
15.221.16.0/22,37,-122
15.230.4.160/31,1,104
15.230.39.94/31,40,-83
15.230.64.64/26,-6,107
15.231.0.0/16,-24,-47
43.224.76.100/30,52,0
43.224.76.176/30,39,-77
43.224.77.100/30,39,-77
43.224.79.92/31,52,0
43.224.79.232/31,46,-120
43.224.79.252/31,46,-120
52.46.188.232/30,39,-77
52.46.191.22/31,39,-77
52.93.141.218/31,37,-122
52.94.96.0/20,45,-74
52.94.192.0/22,39,-77
104.255.59.118/32,37,127
108.175.48.0/22,46,-120
161.188.144.0/23,39,-77
13.34.8.64/27,39,-77
13.34.23.96/27,46,-120
13.34.47.32/27,50,9
15.230.16.0/32,37,-122
15.230.39.36/31,40,-83
15.230.148.0/24,39,-77
18.172.0.0/15,35,114
18.189.0.0/16,40,-83
35.71.64.0/22,46,-120
43.224.77.140/30,52,0
52.46.188.40/30,39,-77
52.93.121.189/32,36,140
52.93.122.218/32,46,-120
52.93.178.204/32,37,-122
52.93.240.174/31,46,-120
52.95.52.0/22,39,-77
52.95.177.0/24,-6,107
